title,description,location,features,data,price
AMAZING 1 BHK FLATS FOR SALE IN VASAI EAST,"Sunshine Green Park floor plan is designed with effective utilization of space.  OC received. good complex good locality It offers 1 BHK studio apartment, The studio apartments are available of 410 sqftarea  Vitrified flooring is done in kitchen, living/dining and balcony. POP/gypsum plaster finished is done in exterior and interior walls. Ceramic flooring is done in kitchen and is set up with stainless steel sink.",Vasai East Mumbai Maharashtra India,1 Bds - 1 Ba - 410 ft2,2020-07-13T08:41:14+0000,"₹ 18,00,000"
"Ready to Occupy 3 BHK for Sale SFS Tranquil in Kodimatha, Kottayam",1. India’s first Pre- Certified Gold rated Green Building  2. CRISIL DA2+ rated builder’s signature project.  3. Occupancy Certificate received  4. Zero GST  5. Best in class amenities including first and finest features.  6. First time in Kerala- Aqua Gym featured inside Infinity pool.  7. Design driven structure with 61 units and 21 unique plans  8. 6 track highway frontage (45m)  9. Top architect of India- Mr. Tony Joseph (Stapati)  10. Lower Common Area Maintenance reason being energy and water efficiency and on-site power production by solar power plant (30KVA).,Kakkanad Kochi Kerala India,3 Bds - 3 Ba - 2054 ft2,2020-07-13T08:41:07+0000,"₹ 1,20,00,000"
"Ready to Occupy 3 BHK for Sale SFS Tranquil in Kodimatha, Kottayam",1. India’s first Pre- Certified Gold rated Green Building  2. CRISIL DA2+ rated builder’s signature project.  3. Occupancy Certificate received  4. Zero GST  5. Best in class amenities including first and finest features.  6. First time in Kerala- Aqua Gym featured inside Infinity pool.  7. Design driven structure with 61 units and 21 unique plans  8. 6 track highway frontage (45m)  9. Top architect of India- Mr. Tony Joseph (Stapati)  10. Lower Common Area Maintenance reason being energy and water efficiency and on-site power production by solar power plant (30KVA).,Edappally Kochi Kerala India,3 Bds - 3 Ba - 2054 ft2,2020-07-13T08:41:07+0000,"₹ 1,20,00,000"
"Ready to Occupy 3 BHK for Sale SFS Tranquil in Kodimatha, Kottayam",1. India’s first Pre- Certified Gold rated Green Building  2. CRISIL DA2+ rated builder’s signature project.  3. Occupancy Certificate received  4. Zero GST  5. Best in class amenities including first and finest features.  6. First time in Kerala- Aqua Gym featured inside Infinity pool.  7. Design driven structure with 61 units and 21 unique plans  8. 6 track highway frontage (45m)  9. Top architect of India- Mr. Tony Joseph (Stapati)  10. Lower Common Area Maintenance reason being energy and water efficiency and on-site power production by solar power plant (30KVA).,MG Road Kochi Kerala India,3 Bds - 3 Ba - 2054 ft2,2020-07-13T08:41:07+0000,"₹ 1,20,00,000"
"Ready to Occupy 3 BHK for Sale SFS Tranquil in Kodimatha, Kottayam",1. India’s first Pre- Certified Gold rated Green Building  2. CRISIL DA2+ rated builder’s signature project.  3. Occupancy Certificate received  4. Zero GST  5. Best in class amenities including first and finest features.  6. First time in Kerala- Aqua Gym featured inside Infinity pool.  7. Design driven structure with 61 units and 21 unique plans  8. 6 track highway frontage (45m)  9. Top architect of India- Mr. Tony Joseph (Stapati)  10. Lower Common Area Maintenance reason being energy and water efficiency and on-site power production by solar power plant (30KVA).,Marine Drive Kochi Kerala India,3 Bds - 3 Ba - 2054 ft2,2020-07-13T08:41:07+0000,"₹ 1,20,00,000"
"Ready to Occupy 3 BHK for Sale SFS Tranquil in Kodimatha, Kottayam",1. India’s first Pre- Certified Gold rated Green Building  2. CRISIL DA2+ rated builder’s signature project.  3. Occupancy Certificate received  4. Zero GST  5. Best in class amenities including first and finest features.  6. First time in Kerala- Aqua Gym featured inside Infinity pool.  7. Design driven structure with 61 units and 21 unique plans  8. 6 track highway frontage (45m)  9. Top architect of India- Mr. Tony Joseph (Stapati)  10. Lower Common Area Maintenance reason being energy and water efficiency and on-site power production by solar power plant (30KVA).,Kaloor Kochi Kerala India,3 Bds - 3 Ba - 2054 ft2,2020-07-13T08:41:07+0000,"₹ 1,20,00,000"
Janta colony E-6 arera colony Bhopal,"Janta colony E-six arera colony Bhopal ., Urgent sale krna he. pls contact me.",Arera Colony Bhopal Madhya Pradesh India,1 Bds - 1 Ba - 450 ft2,2020-07-13T08:40:20+0000,"₹ 15,00,000"
fully furnished ready to move 1bhk flat 14.90,"fully furnished ready to move 1bhk flat 14.90  We have fully furnished 2 bhk flat available in Shiwalik city, kharar landra road, Mohali Fully furnished flat includes :- # Modular Kitchen # Complete Wood Work # False Ceiling # Gas cook top 4 Burner # 3 double Beds  # DTH fitting # 7 Seater Sofa # Ceiling fans # A.C Fitting. #Inverter wiring #All Branded bath fitting #Sliding cub boards # 90% loan available # 2.67 subsidy benefit Amenities :- 24x7 water supply & electricity Daily need shop For more information..",Sector 127 Mohali Punjab India,1 Bds - 1 Ba - 630 ft2,2020-07-13T08:40:14+0000,"₹ 14,90,000"
2bhk flats READY TO MOVE FULLY FURNISHED At SEC125 JUST IN 21.90lac,"2bhk flats READY TO MOVE FULLY FURNISHED At SEC125 JUST IN 21.90lac  Special Saturday SUNDAY Offers (27-6-2020 TO 28-6-2020)  *Offer Till limited Period, Don't miss it.  * 6 Lacs Cash Benefit in Just paying 21000/-  *Cupboard in all rooms *R.O *CHIMNEY *GEYSER *DOUBLE BED *Cup boards with best material *AC FITTING.  2.67lacs subsidy under PARDHAN MANTRI AWASS YOJNA  90% Loan Facility AND10% Down Payment",Sector 125 Mohali Punjab India,2 Bds - 2 Ba - 1150 ft2,2020-07-13T08:40:14+0000,"₹ 21,90,000"
1bhk fully FURNISHED ready to move At sec-127 JUST IN 14.90Lacks,1bhk fully FURNISHED ready to move At sec-127 JUST IN 14.90Lacks  6 lacks discount benefit for Booked your dream home JUST IN 2100/- TOKEN   Special offers.  *CUP BOARDS *Cheminy *DOUBLE BED BOX *32 INCH LED TV *R.o *AC  2.67lacs subsidy under PARDHAN MANTRI AWASS YOJNA  10% DOWN Payment and 90% Loan Facility.,Sector 127 Kharar Punjab India,1 Bds - 1 Ba - 650 ft2,2020-07-13T08:40:14+0000,"₹ 14,90,000"
